seq,tx_ts,rx_ts,latency_ns
0,1763689448511728128,1763689448511754610,26482
1,1763689448512807852,1763689448512733585,-74267
2,1763689448513867557,1763689448513792060,-75497
3,1763689448514926541,1763689448514847034,-79507
4,1763689448515985376,1763689448515906083,-79293
5,1763689448517043989,1763689448516962057,-81932
6,1763689448518102416,1763689448518020198,-82218
7,1763689448519161270,1763689448519081043,-80227
8,1763689448520219957,1763689448520140758,-79199
9,1763689448521278441,1763689448521196362,-82079
10,1763689448522336831,1763689448522270151,-66680
11,1763689448523395074,1763689448523314718,-80356
12,1763689448524453483,1763689448524371730,-81753
13,1763689448525511781,1763689448525429501,-82280
14,1763689448526570302,1763689448526488882,-81420
15,1763689448527628841,1763689448527549153,-79688
16,1763689448528687176,1763689448528604442,-82734
17,1763689448529745474,1763689448529663158,-82316
18,1763689448530804383,1763689448530725854,-78529
19,1763689448531862811,1763689448531782310,-80501
20,1763689448532921146,1763689448532838729,-82417
21,1763689448533979500,1763689448533897074,-82426
22,1763689448535038039,1763689448534956474,-81565
23,1763689448536096485,1763689448536015504,-80981
24,1763689448537154765,1763689448537072404,-82361
25,1763689448538213137,1763689448538130971,-82166
26,1763689448539271342,1763689448539190131,-81211
27,1763689448540330215,1763689448540247828,-82387
28,1763689448541388587,1763689448541309395,-79192
29,1763689448542447052,1763689448542365517,-81535
30,1763689448543505442,1763689448543423732,-81710
31,1763689448544563815,1763689448544481633,-82182
32,1763689448545622187,1763689448545539700,-82487
33,1763689448546680763,1763689448546599267,-81496
34,1763689448547739265,1763689448547657760,-81505
35,1763689448548797600,1763689448548719790,-77810
36,1763689448549855898,1763689448549773801,-82097
37,1763689448550916400,1763689448550835183,-81217
38,1763689448551976791,1763689448551895491,-81300
39,1763689448553036792,1763689448552954484,-82308
40,1763689448554096739,1763689448554014236,-82503
41,1763689448555158055,1763689448555077673,-80382
42,1763689448556218150,1763689448556137148,-81002
43,1763689448557278041,1763689448557196011,-82030
44,1763689448558337987,1763689448558255726,-82261
45,1763689448559399007,1763689448559318275,-80732
