seq,tx,rx,latency
439454,1764177705729814221,1764177705723994450,-5819771
3227146,1764177705729831832,1764177705723996765,-5835067
439455,1764177705730873880,1764177705724268729,-6605151
3227147,1764177705730892102,1764177705724273543,-6618559
439456,1764177705731934614,1764177705725327713,-6606901
3227148,1764177705731952151,1764177705725359769,-6592382
439457,1764177705732994182,1764177705726350864,-6643318
3227149,1764177705733012033,1764177705726367420,-6644613
439458,1764177705734053749,1764177705727438553,-6615196
3227150,1764177705734071897,1764177705727443516,-6628381
439459,1764177705735113223,1764177705728476519,-6636704
3227151,1764177705735131816,1764177705728501778,-6630038
439460,1764177705736174013,1764177705729529689,-6644324
3227152,1764177705736191624,1764177705729546152,-6645472
439461,1764177705737233617,1764177705730615340,-6618277
3227153,1764177705737251358,1764177705730620711,-6630647
439462,1764177705738293203,1764177705731657158,-6636045
3227154,1764177705738311407,1764177705731669084,-6642323
439463,1764177705739353900,1764177705732735847,-6618053
3227155,1764177705739371252,1764177705732740310,-6630942
439464,1764177705740413467,1764177705733841535,-6571932
3227156,1764177705740431004,1764177705733845868,-6585136
439465,1764177705741472979,1764177705734838075,-6634904
3227157,1764177705741490868,1764177705734847168,-6643700
439466,1764177705742532528,1764177705735887856,-6644672
3227158,1764177705742550657,1764177705735905634,-6645023
439467,1764177705743593280,1764177705736948304,-6644976
3227159,1764177705743610576,1764177705736966433,-6644143
439468,1764177705744652921,1764177705738007807,-6645114
3227160,1764177705744670440,1764177705738025251,-6645189
439469,1764177705745712489,1764177705739068940,-6643549
3227161,1764177705745730359,1764177705739086106,-6644253
439470,1764177705746772056,1764177705740127184,-6644872
3227162,1764177705746790074,1764177705740145850,-6644224
439471,1764177705747832771,1764177705741187816,-6644955
3227163,1764177705747849975,1764177705741206057,-6643918
439472,1764177705748892431,1764177705742247579,-6644852
3227164,1764177705748909875,1764177705742264690,-6645185
439473,1764177705749951980,1764177705743310564,-6641416
3227165,1764177705749969943,1764177705743330415,-6639528
439474,1764177705751011121,1764177705744368289,-6642832
3227166,1764177705751029769,1764177705744386419,-6643350
439475,1764177705752071800,1764177705745428403,-6643397
3227167,1764177705752089540,1764177705745446533,-6643007
439476,1764177705753131422,1764177705746489666,-6641756
3227168,1764177705753149404,1764177705746506166,-6643238
439477,1764177705754191138,1764177705747547502,-6643636
3227169,1764177705754209730,1764177705747566021,-6643709
439478,1764177705755251946,1764177705748610042,-6641904
3227170,1764177705755269520,1764177705748626357,-6643163
439479,1764177705756310550,1764177705749666860,-6643690
3227171,1764177705756329587,1764177705749686027,-6643560
439480,1764177705757368988,1764177705750725678,-6643310
3227172,1764177705757389321,1764177705750746216,-6643105
439481,1764177705758427370,1764177705751783570,-6643800
3227173,1764177705758450833,1764177705751808496,-6642337
439482,1764177705759487048,1764177705752845277,-6641771
3227174,1764177705759511826,1764177705752869000,-6642826
439483,1764177705760547134,1764177705753903577,-6643557
3227175,1764177705760571986,1764177705753928799,-6643187
439484,1764177705761606923,1764177705754965562,-6641361
3227176,1764177705761631849,1764177705754990580,-6641269
439485,1764177705762666843,1764177705756023546,-6643297
3227177,1764177705762691565,1764177705756047935,-6643630
439486,1764177705763727780,1764177705757084235,-6643545
3227178,1764177705763751410,1764177705757108068,-6643342
439487,1764177705764787625,1764177705758144719,-6642906
3227179,1764177705764811292,1764177705758167849,-6643443
439488,1764177705765847470,1764177705759205111,-6642359
3227180,1764177705765870970,1764177705759227834,-6643136
439489,1764177705766907223,1764177705760263726,-6643497
3227181,1764177705766930667,1764177705760287374,-6643293
439490,1764177705767968142,1764177705761324581,-6643561
3227182,1764177705767990531,1764177705761346895,-6643636
439491,1764177705769027950,1764177705762391306,-6636644
3227183,1764177705769050413,1764177705762407899,-6642514
439492,1764177705770087795,1764177705763451920,-6635875
3227184,1764177705770110184,1764177705763469643,-6640541
439493,1764177705771147492,1764177705764504238,-6643254
3227185,1764177705771169973,1764177705764537683,-6632290
439494,1764177705772207337,1764177705765563667,-6643670
3227186,1764177705772230207,1764177705765587427,-6642780
439495,1764177705773267219,1764177705766625245,-6641974
3227187,1764177705773290126,1764177705766647263,-6642863
439496,1764177705774326990,1764177705767683785,-6643205
3227188,1764177705774349934,1764177705767706489,-6643445
439497,1764177705775387853,1764177705768744695,-6643158
3227189,1764177705775409761,1764177705768768103,-6641658
439498,1764177705776447661,1764177705769803958,-6643703
3227190,1764177705776469624,1764177705769826384,-6643240
439499,1764177705777507506,1764177705770864017,-6643489
3227191,1764177705777529525,1764177705770886220,-6643305
439500,1764177705778567222,1764177705771923316,-6643906
3227192,1764177705778589296,1764177705771945538,-6643758
439501,1764177705779628048,1764177705772984375,-6643673
3227193,1764177705779649289,1764177705773006005,-6643284
439502,1764177705780687875,1764177705774044489,-6643386
3227194,1764177705780709134,1764177705774065526,-6643608
439503,1764177705781747646,1764177705775137881,-6609765
3227195,1764177705781769035,1764177705775142789,-6626246
439504,1764177705782807343,1764177705776176218,-6631125
3227196,1764177705782828861,1764177705776196310,-6632551
439505,1764177705783868132,1764177705777224073,-6644059
3227197,1764177705783888947,1764177705777244721,-6644226
439506,1764177705784927718,1764177705778282798,-6644920
3227198,1764177705784948736,1764177705778303428,-6645308
439507,1764177705785987433,1764177705779344098,-6643335
